playlist_id,top_10,targets
21,"['TRYJNPZ12903CC369F', 'TRWMTES128F423F03D', 'TRZXCFK128F92F3C21', 'TRQUDOM128F428EE0F', 'TRLAUAI128F423DBC8', 'TRJBHLJ128F92F20EC', 'TRJSAID128F934D596', 'TRNYTEG128F92E01CD', 'TRGUVQT128E0794C0E', 'TRRERKJ128F42B98D4']","['TRMMZHD128F427FE98', 'TRINTFS12903CF7876', 'TRJHSKL128F92E4EC7']"
22,"['TRTZORX128E07813AF', 'TRQIYYJ12903CC5B03', 'TROOCGF128F931296C', 'TRYCTTS128F147ADC8', 'TRBJBMC12903CBB3ED', 'TRISBOR12903CC04BF', 'TRKMREH128F9300976', 'TRQAKLB128F146BE54', 'TRXXGJC12903CC0B6F', 'TRPAVMW128F931296F']","['TRAGACS128E078E74D', 'TRPYROS128F427F1A9', 'TRSCMBY128F9311188', 'TRLGQPZ12903C9F46B']"
23,"['TRQAJQJ128E0781811', 'TRVZKXY128F933DCFE', 'TRJXCUS128F422B8FF', 'TRKCOIO128F42BCBC1', 'TRKOZVY12903CFDBD0', 'TRLCZET12903D03F70', 'TRZNMXV128F423247F', 'TRXCYUG128E0782282', 'TRXXSXP128F932F64C', 'TRDFFPW128E079881D']","['TRFANLP128F930317F', 'TREKNVP128F92CDE50', 'TRFANLP128F930317F']"
24,"['TRYNUOH128F92F99CE', 'TRMCERZ128F425EA28', 'TRNIALF128F14856FF', 'TRWFFHM128F92F99C4', 'TRWULIQ128E07953D1', 'TRCYFKS128F92F99BE', 'TROBAWY128F934325F', 'TREHCOI128F428E8BB', 'TRBXVEA12903CD2DCA', 'TRENNLG128F934324D']","['TRQAEVC128F1483289', 'TRNLFPD128F428CAE9']"
25,"['TRHGRZK128F429416E', 'TRLPSAI128F425A9BB', 'TRXMNRG128E07924BE', 'TROELBL128EF342699', 'TRCOYPA128F423B478', 'TRUUYYA128F427B863', 'TRIGOXZ128F428F2D0', 'TRHPVEO128F4270522', 'TRMMVPU128F145EC99', 'TRVDHUD128F92E9C1C']",['TRAFZKY128F424C628']
26,"['TROCYJD128F148FE32', 'TRVPMAE128F9334013', 'TREBAIW128F42ACB97', 'TRDEKRZ128E0791C7A', 'TRABCUQ128E0783E2B', 'TREEYHR128F931B592', 'TRUEBNP128F42841C7', 'TRTKGER12903CE6948', 'TRAFURF128EF3554EF', 'TRXENEC128F9311C70']","['TRDWSIX128F148B222', 'TRRUVLO128F92DE6F7', 'TRVFIFJ128F429846C', 'TRZUWSX128F92F491A', 'TRJFBHM128F426712A', 'TRMFOLO128F424A0FC', 'TRKPVFQ128F933A61F', 'TRRLCEQ12903CEA634', 'TRVOWOG128E0783E33', 'TRUTFIW128F42520FA']"
27,"['TREJGTV12903CFCDE8', 'TRVMKOU128F148DAC0', 'TRGDXYT128F93435A8', 'TRAQWGY12903CE4312', 'TROEEQA128F93379EA', 'TRIGYDL12903D05328', 'TRDNYBU128F9332358', 'TRTLMSH12903CDBEDB', 'TRTRWZC128F4214284', 'TRTXELN128F934259E']","['TROZTPS128F92E4737', 'TRYRSQZ128F9307EB4', 'TRZJYXG128E078E9C4', 'TRIFTVH128F92D306F']"
28,"['TRLSUZY128F428821C', 'TRNYTEG128F92E01CD', 'TRUEIQM12903CF187E', 'TRWJNEC128E079654F', 'TRGUVQT128E0794C0E', 'TRJTOFJ128F4271771', 'TREQMWE128F427EDE8', 'TRJSAID128F934D596', 'TRUMBCR12903CA606F', 'TRRPZKS128F92EC1F4']",['TRENKFJ12903CB5C2B']
29,"['TRBBIEX128F92ECDA8', 'TRKZDAG128F426441A', 'TREFKAJ128F42B91D6', 'TRWAAGN128F4293481', 'TRSHECT128F42AC94A', 'TRFDXCC12903CF4703', 'TRVDJMM128F4255D9E', 'TRARHBP128F14AE22B', 'TRRVBVW128F14AE21F', 'TRDJCQP128EF33FD56']","['TRBLANS128F92FD3FF', 'TRIFUUN128F14ADDE1', 'TRAFKRE128F932002B', 'TRAEFXT128F42AEAD8', 'TRUFDRV128F4262352', 'TRSLJJR128F9303138']"
30,"['TRVSOLL128F4255512', 'TRWXPCR128F1459DA0', 'TRBXLVQ128F1459DA3', 'TRKHVUS128F1459DA2', 'TRDGJUU128F42BAA8C', 'TRJNRVC128F1462DEF', 'TRTESAU128F1462DE9', 'TRXPNTF12903CBDBCC', 'TRVABZA12903CEF50F', 'TRDGLLR128E0789C0A']","['TRCJGNA128E078F797', 'TRPEAAD128F427952A']"
31,"['TRGJOXO12903CC8792', 'TRRWNOC128F426609D', 'TRGYZZH128F42660B6', 'TRWBYDU128F1482210', 'TRTWXLZ128F92DE6B1', 'TRBHNNH128F429D1F3', 'TRTQLIW128F14676B0', 'TRKTJUJ128E0783AC6', 'TRDBUEG128F4287AC9', 'TRJZKCF128F92EBEFF']",['TRIACGQ128F93234B6']
32,"['TRDWKRP128F931EB46', 'TRWMMIA128F935A66B', 'TRDJRES128F933B4BA', 'TRNMFNY128F92E058C', 'TRLXNRC128F42B9C10', 'TRTQBDR128F932C493', 'TRUBOMK128F9321BC3', 'TRUBSRO128F9301552', 'TRQJTUP128F426373E', 'TRWPJSG128F934259B']","['TRWGMNU128F4285330', 'TRNERTQ128F146EC6E']"
33,"['TRTRWSM128E0791EB4', 'TRWCCTS128E07849A4', 'TRTSPVF128F4288A4B', 'TRCSDVW128F93152FA', 'TRZDZFL128F428E7CE', 'TRFGPDY128F42AC57B', 'TRJUMHR128F4265870', 'TRLJKOX128F9322FC1', 'TRSUPCO128F42925B2', 'TRHPUKM128F424D7FE']",['TRLGQPZ12903C9F46B']
34,"['TRUHXOR128F92E3553', 'TRKYAXU128F42480AF', 'TRJUBVQ128F4282114', 'TRNTYGF128F9302BD8', 'TRLIXDT128F92D67A4', 'TRLZJSC128F1488554', 'TRLIAFK128F92D558F', 'TRCUMXW128F92E5A2B', 'TRXKQIN128F4238A80', 'TRUBCHJ12903CB973C']","['TRLICVA128F4261E26', 'TRFMIWL128F4261E28', 'TRPJPBJ128F4261E2C', 'TRUJMAW128F4261E2D', 'TRNQVJP128F422C601', 'TRWRQPB128F930DBD7', 'TRKHNWQ128F931850A', 'TRUNNYZ128F427C399']"
35,"['TRLQIDW128F42886A2', 'TRJSJTD12903CDCD27', 'TRXIUWQ128F42BAA8B', 'TRNNTOP128E0791E76', 'TRPNCTG128F92FCDCF', 'TRVPIVM128F4242DD6', 'TRXIQYM128F422B911', 'TRDGJUU128F42BAA8C', 'TRCTZEZ128F42BCD7F', 'TRMKGXJ128F423A067']","['TRGRDUH128F42AE383', 'TRMGTWK128F4271E2C']"
36,"['TRKUXLX128E07953CD', 'TRALBIA128F4272082', 'TRXGWVX128F9300F4F', 'TRNLNUD128F42607D0', 'TRJYYAS128F92EF6FF', 'TRLKDKC128F92F99ED', 'TRVJHVE128F93171E2', 'TRKYRMA128F148219D', 'TRDQHKF128F42673A7', 'TRLPCZC128F427207E']",['TRMHXBU128F932A16D']
37,"['TRXIIGL128F931F539', 'TRMYBVP128F9329079', 'TRGLRYX128F9340D39', 'TRQCANF128F148ADA2', 'TRWPRHO128F935865C', 'TRMFBLV128F426C3A9', 'TRHEDYV128F14856FC', 'TROCKDY128F42B01C4', 'TRBQSQG12903CBD7D3', 'TRXKZZM128F9336E7C']","['TRSIGSA128F92D41FC', 'TRBZFCH128F428871D']"
38,"['TRAUDNN128F426C328', 'TRLSWGW128F9325263', 'TRHLCEV128F424B0D1', 'TRSJPQR128F1473C8C', 'TRKWWHJ128E0791299', 'TRCLGZL128F14629E3', 'TRWIHMM128F426E8FF', 'TRVZCTL128E078F0BE', 'TRKIQXC128F42A27B6', 'TRUPEJW12903CCC9E0']",['TRKBIAR128F428B76C']
39,"['TRJXXET128F42947D3', 'TRDNCHN128F427FA4F', 'TRRYUCJ128F148EBC9', 'TRWIPEU128E078997D', 'TRYFLGR128E078A71F', 'TRUPYQS128F93354A4', 'TRCMKNX128F93419D6', 'TRUGAFC128F93141A4', 'TREMLCV12903C9C1B2', 'TRXGTXI128F427C75C']","['TRFSCIN128F92F4AD4', 'TROXFZG128EF3434AE', 'TRUHLIZ128F92EF08B', 'TRSJKLY128E079849E', 'TRYJAPJ128F427AAEB', 'TRZDPAF128F92F7C1F', 'TRTLNUT12903CF4704', 'TRNHCPK128F933BAAB', 'TRQHKGZ128F92F03A2', 'TRJZGXV128F92D4C0D']"
40,"['TRSLDNU128C7196379', 'TRSWAJH128F93131DC', 'TRPSOIT128F147A026', 'TRIMLHF128F427D08C', 'TRYFICI128E07925B3', 'TRIWCHZ128F92EF0C1', 'TREPLGV128F427D082', 'TRTCRFD128F1498F34', 'TRJAPQW128F149558B', 'TROFHNX128F9337047']","['TRKZCMQ128F145B792', 'TRZHDCH128F148D1BD', 'TRFTBAK128F422BDA2', 'TRALROP128F92CA9CC']"
41,"['TRPYTSE128F42BC6D7', 'TRXKAYV128F9333C46', 'TRFQDHT128F4277E01', 'TRQQQMR128EF343568', 'TRZITCC12903CEE353', 'TRWTIJT12903C9FFB4', 'TRIWIHX128F92F26DE', 'TRTHGPK128F147DF90', 'TRTMZIM128F4272559', 'TRIXNAD128F148091B']","['TRGYLXD128F427255F', 'TRVLHTC128F42669C1', 'TRVJFGM128F42B86C6', 'TRYRHFC128F9305CFE', 'TRQVNXG128F92E8AB6', 'TRMKSEG128F92D3C5C', 'TRAZDPO128E078ECE6', 'TRYJZDG128F145FB01']"
42,"['TRGHIUF128F148C230', 'TRRIJAU128F931CE3F', 'TRAOUMF128F92EC1FD', 'TRRPZKS128F92EC1F4', 'TRRHXZX128F93191C4', 'TRHPHNQ128F14721FE', 'TRRHAQH128F42792E9', 'TRMTTTW12903CB5C2E', 'TRUEOAY128E078EAD0', 'TRDOJPR128F9336CA4']","['TRQJBNU128F425B057', 'TRYIQDN128F42724B6', 'TRUJFZQ128F9346510']"
43,"['TRBBGHS128F1491578', 'TRBEOLH128F42963CD', 'TRXVCWJ128F42231EA', 'TRSZCJL128F4241AF6', 'TRUHWQQ128F93419DA', 'TRPYTKF128F1494AC3', 'TRXXCNG128F93419D2', 'TRETSSG128F426A714', 'TRMTCDW128F1487E8C', 'TRKEAOV128F1487E92']","['TRDTGYF128F4214DAA', 'TRAGACS128E078E74D']"
44,"['TRPLEBC128F147717D', 'TRRHCHT128F4214DB9', 'TRLZTEV128F1461DF0', 'TRAXMNY12903CB5207', 'TREDQRF12903CF89D3', 'TREYBRQ128F9300B3B', 'TRPNJJV128F92E36D9', 'TRCOGUN128F148EF43', 'TRSAOTI128F4270994', 'TRHZUBR128F429EB04']","['TRCRHHN128F4214DB1', 'TRZKFEJ128F4214DB4', 'TRRHCHT128F4214DB9']"
45,"['TRGJGAC128F92EA26B', 'TRWVVSQ128EF3663C0', 'TRJPKOT128F92EA257', 'TRWQBUW128F422BC38', 'TRPKJAU128F429EB3B', 'TRALEPN128F9311179', 'TRTPUPT128F4279B00', 'TRWDUUL12903D080A7', 'TRZGLTL128F9301FDD', 'TRDZFND12903D080A3']","['TRZUJIS128F9340447', 'TRDXUYI128F92F6947', 'TRUYHHZ128EF341D29', 'TRAEFXT128F42AEAD8', 'TRPNWBL128F92CB6E9', 'TRFXKPH128E0793B8E', 'TRIFVDW128F4279DE0', 'TRKRZLR128F427255A', 'TRTZORX128E07813AF']"
46,"['TRQQOJF128F42BC5A3', 'TRRTLXR128F92D58DD', 'TRIOFGR128F1459D7C', 'TROMDMC12903CE3041', 'TROQJNR12903CE3073', 'TRUQIUM128F933761D', 'TREOVLI128F4242DF2', 'TRXIQYM128F422B911', 'TRWCWLX128F42AE390', 'TRFAWKX12903CE30F4']","['TRKOZVY12903CFDBD0', 'TRYEIDS12903CA2821', 'TRPAAWS128F92F4130']"
47,"['TRREFAC128E0799A36', 'TROSPZM128F92F9EED', 'TRQQHRT128F92F9EF6', 'TRRPHLD128F4272081', 'TRCYRBK128F930C620', 'TRUVRGL128F93077EF', 'TRSIPPR128E0792141', 'TRQFHAC128F429411B', 'TRODYJV128F92F4D28', 'TRDBHKC128F42A3A97']","['TRMHGPF128F426BE7F', 'TRMHXBU128F932A16D', 'TRNLNUD128F42607D0']"
48,"['TRPYYEY128E0784C3E', 'TRWGMNU128F4285330', 'TRVFTHN128F4260A72', 'TRQAPEY12903CAB54A', 'TRMLFVC128E07935EE', 'TRQOZWP128F145AD6C', 'TRTNPYL128F932C982', 'TRPGMZN128F9337D70', 'TRYRZRK128F4228CD0', 'TRFQSJS128F4274940']","['TRRQHIX128F92E17B1', 'TRGVFTB128F427A5EB', 'TRPYJVG128F4255504', 'TRKROJB128F42725F8']"
49,"['TRFVUZX128F92EFC32', 'TRHIKIB128F428BDE1', 'TRWZRQW128F4259961', 'TRJZEGG128F92FBFC9', 'TRNTNGW128F147E27C', 'TRZNBTR12903CE96E7', 'TRJNYIM12903CC5BF4', 'TRNSSGE128F92CFA5F', 'TRPZOFK128F423C079', 'TRPAVMW128F931296F']","['TRMEBYQ128F932FEFF', 'TRPYYYU128F92C7CCC', 'TRMHIQB128F42574AA']"
50,"['TRMFOLO128F424A0FC', 'TRIUSZA128F4214A83', 'TRWCAYX128F14ADCCC', 'TRYCHQE12903CE6A7B', 'TRQFHAC128F429411B', 'TRHTCAP128F4238224', 'TRMINAL12903CE6A72', 'TRLMSNA128E0799A31', 'TRWJQIF128F931FAFD', 'TRCVBSY128E0788DAF']","['TRVUFYR128F9335289', 'TRRHZHZ12903CE6A70', 'TRNLNUD128F42607D0', 'TRBXVEA12903CD2DCA', 'TRLNQGI128F92D5D37', 'TRFNGJS128F92F9EEE', 'TRXPADO128F42A964A', 'TRQMELD128F930BE43', 'TRKHARN128F146DA7A', 'TRTLNUT12903CF4704', 'TRAFZKY128F424C628', 'TRMCGJQ128F14A242B', 'TRPYYYU128F92C7CCC', 'TRXPADO128F42A964A']"
51,"['TRDAYHC128F147878E', 'TRFNMGG12903CDA55E', 'TRKBRYO128F92D2629', 'TRIMXGK128E078A726', 'TRIHPDV128F932B5DC', 'TRSWHBL128F92EF297', 'TRDIYCX128F1472A27', 'TRGZNDM128F429B2D0', 'TRJXBCI12903CEC353', 'TRTXAHQ128F427253D']","['TRZCFFS128F4295BD7', 'TRYRNPH128F4295BDC', 'TRYIAKI128F147A5DC', 'TRIREMN128F4295BE4', 'TRDRBHT128F4295BE6', 'TRPCFHJ128F42A8849', 'TRMNQZI128F42B58E8', 'TRFWIRB128F42B6554', 'TRSFZGX128F932B6F0']"
52,"['TROYIQE128F931113F', 'TRSCNGW12903CE91EB', 'TRIGIPE128E078EC89', 'TRDAIDE12903CEA794', 'TRYFJBZ128E0783C26', 'TRUGZMJ12903CFCE00', 'TRPUGUW128F426BF6F', 'TRCODIA128F9360B74', 'TRHGFVH128F934857B', 'TRUHCUV128F4267DFF']","['TRTXELN128F934259E', 'TRVHTNR128F42411F1', 'TRWCEKE128F93191BE', 'TROMQBP128F4279306', 'TRUYOMJ128F93191BB', 'TRJAIIM128F42BC5BA', 'TRNPKRK128F429831C']"
53,"['TRTIRFG128F428D2F8', 'TRXUYKI128F145288D', 'TRFFSZA12903CE426F', 'TRDAGQN12903D081F0', 'TRVGDMZ128F428D313', 'TRWGNAL128F92E0A09', 'TRPYLKU128F428808E', 'TRRTPHV128F932DF98', 'TREAYWO128F93112F4', 'TRHLBJI128F92F159C']","['TROBUUZ128F4263002', 'TRKTOPV128F92D9BAD', 'TRUHLIZ128F92EF08B']"
54,"['TRAWYNV128F92F5E7E', 'TRFMBZS128F4264A68', 'TRRHRGE128F42B5082', 'TRPJTRO128E07929D4', 'TRMFVLK128F426A78A', 'TRWUCXO128F428913B', 'TRNZBBK128F14590C8', 'TRQLFWT128F42885DE', 'TRYJFZH128F4294A13', 'TRNSDHI128F426FB20']","['TRQWKDK128F426A901', 'TRGKSGI128F146B1A8', 'TRDGYPA128F930ECBB', 'TRVELHF128F933C8B4']"
55,"['TRIMRMM128F9351B89', 'TRPEBMY12903CBD7B6', 'TRGHIUF128F148C230', 'TROREBT128F933DCFC', 'TRUKRMI128F4266F18', 'TRLKMWH128F146CC1C', 'TRRIJAU128F931CE3F', 'TROWZRJ128F92F4589', 'TRTQIQF128F42819AB', 'TRQKJCB128F423E59B']",['TRNPXII128F1488557']
56,"['TRXTMLE12903CFBD22', 'TRKKVMD128F4247EF8', 'TRWZBRN128F92F5F4D', 'TRYREZO128F4247F01', 'TRQOHVQ128F426B2F2', 'TRMZAHY128F4247EFC', 'TRCGOMP12903CF480B', 'TRILZOT128F423820C', 'TRWJCBY128F4261C0F', 'TRIXVWE128F1476FEC']","['TRXPADO128F42A964A', 'TRRNGZF128F428D11E', 'TRSZUXR128F92F5F44', 'TRHNVYP128F4262C22', 'TRPKEWQ128F4249238']"
57,"['TRRZUJB128E0785F04', 'TRIUPNK128F42858C1', 'TRWVDMH128F429E5DB', 'TRDFWRA12903CBAD26', 'TRAZGJX128F4263B7A', 'TRLZKYQ128E079270D', 'TRZEEJL128F428854A', 'TROGUQY128F4249A10', 'TRSAVQH128F428837E', 'TRZVFHZ128F425443D']","['TRPFLKR128E078ED6C', 'TRMEGZW128F149159D', 'TRYNJBB128F931A7EE', 'TRFUSOG128E078EC6F']"
58,"['TRFNCBI128F42B53F2', 'TRISSST128F42B53E8', 'TRJKLII128F4252E0F', 'TRHUABQ12903C99C8F', 'TRZYESA128F148D67F', 'TRBBQFV128F4252EFF', 'TRYYEGB128F428B1CE', 'TRCRKWA128F92F4587', 'TRKYAIX128E0785FFB', 'TRICSGW128E078381D']","['TRGOOOR128E078F970', 'TRFMNKN12903CB636C', 'TRHAOTJ128F92D7E39', 'TRECPSY12903CB637F']"
