playlist_id,top_10,targets
10,"['TRQQOJF128F42BC5A3', 'TRKCQHG128F92E0C1C', 'TRUWTAW128F429FEF1', 'TROUGBV128F92C2176', 'TRTPPUN128F42AE37D', 'TRKIZPI128F428D380', 'TRZDTUC12903CE30DD', 'TROXWBT128F9305E67', 'TROMDMC12903CE3041', 'TRVWVKY128F148D60A']","['TRLSCIQ12903CFDBEE', 'TRWKRWH12903CFDBEF', 'TRNBRHA12903CFDBF2', 'TRZJRNW12903CFDBF4', 'TRADCNP12903CFDBFA', 'TRDAYRK12903CFDBFB', 'TRNYDDW128F4218742', 'TRJHPZP128E0789C02', 'TRYSRQT128F421874C', 'TRJHPZP128E0789C02', 'TRLDVXO128E0789C08', 'TRIOTVG128E0789C09', 'TRDGLLR128E0789C0A', 'TRSRTOS128E0789C0C']"
11,"['TRONBHE128F92D6309', 'TRCNVLA12903CF6052', 'TRPNPTL128EF35F8B6', 'TRPYYYU128F92C7CCC', 'TRBAUVN128F932FEF8', 'TRFBNLV128F425EA77', 'TRDLKVL128F1483283', 'TRDLWAP128F428F6B9', 'TRXPADO128F42A964A', 'TRSSPPR128F92C3A4E']","['TRCNVLA12903CF6052', 'TRALJBT128F4266FD8', 'TRNCOSA128F4233DD7', 'TRLTGLN12903CBEED8']"
12,"['TRYBNZN128F1488CE8', 'TRFYIGG128F148D102', 'TRQAWWY128F4261F06', 'TREBYXE128F425EB7C', 'TREUMHS128E07921A3', 'TRLHXDG128F426AC93', 'TRYPYAE128F426F8A4', 'TRDSMEW128F42733F3', 'TRMFHKP128F426A36A', 'TRQGPAQ12903CCBC14']","['TRDILGU128F4241B00', 'TRFUVKB12903CB0FE3', 'TRDBKUE128F4299D5A', 'TRWGUUP128F92E1FDE']"
13,"['TRCAFNH128F1453C6D', 'TRDMRMV128F9330FC2', 'TRPQMJK12903CBA854', 'TRYINMA128F931D77D', 'TRYFJBZ128E0783C26', 'TROHHFF12903CC6E0D', 'TREUCZW12903D06BFE', 'TRMNLLW128F92F80BB', 'TRCWAOY128F14A8959', 'TRKRBLS128F92F80BD']","['TRAMQXC128F14A2378', 'TRUYTNQ128F429A95C', 'TRAGACS128E078E74D']"
14,"['TRNURZT128F429C69B', 'TRVEOLM128F42A3A31', 'TRMUHKE128F4272ED9', 'TRKFYMB128E078E199', 'TRZHYHM128F428A113', 'TRSRNDF128E0781A89', 'TRUYMCX128F428CCD1', 'TRWCKEI128E0780E47', 'TRGMVZO128E078607E', 'TRLGLMA128F1470959']","['TRSOTOZ128F424E279', 'TRQEBRP12903CADD6C']"
15,"['TRBAUVN128F932FEF8', 'TRMHXBU128F932A16D', 'TRDLKVL128F1483283', 'TRSSPPR128F92C3A4E', 'TRONBHE128F92D6309', 'TRKBWUX128F92D54F3', 'TRJBSYG128F4291E11', 'TRQMELD128F930BE43', 'TRSIYFY128F932FE88', 'TRWDJRQ128F4295E13']","['TRMFOLO128F424A0FC', 'TRMEBYQ128F932FEFF', 'TRMHXBU128F932A16D', 'TRAFZKY128F424C628', 'TRPYYYU128F92C7CCC', 'TRWDJRQ128F4295E13', 'TRCHNDS12903CBAE93', 'TRXPADO128F42A964A', 'TRZHDSV128F42963CF', 'TRFMSIB128F429638D']"
16,"['TRQMCJH128F92EA516', 'TRDEIIJ128F1489889', 'TRBFWNM128F42637F2', 'TRWZWGH128F9308EFE', 'TRYRCXK128F932A7E9', 'TRJPSWP128F426E232', 'TRIFTVH128F92D306F', 'TRALXLY128F148B35B', 'TRQWTRO128F426A902', 'TRPSLCW128F9301F83']",['TRJLMSU128F932BB3A']
17,"['TRIGMQM128F92FA803', 'TRGIVRT128F92F7E79', 'TRLIZQF128F934EEF8', 'TRDDQBD128F428CDB4', 'TRABFDT12903CADD73', 'TRICFLJ128F9305F3F', 'TRKPZQB128F145E0C3', 'TRLYHYF128F9301D44', 'TRRUVLO128F92DE6F7', 'TRLNVSC12903CADD67']",['TRDDQBD128F428CDB4']
18,"['TRKCQHG128F92E0C1C', 'TROUGBV128F92C2176', 'TRLCIGR128F92F5E9D', 'TRKIZPI128F428D380', 'TRVWVKY128F148D60A', 'TRDDOJM128F428CEE1', 'TRBHUSP128F4242DD0', 'TRQQOJF128F42BC5A3', 'TROMDMC12903CE3041', 'TRCDDNL128F1459D9F']","['TRKIZPI128F428D380', 'TRTPPUN128F42AE37D', 'TROUGBV128F92C2176', 'TRVWVKY128F148D60A', 'TRPAAWS128F92F4130']"
19,"['TRYTKLB128F92F11FE', 'TRIFVDW128F4279DE0', 'TRVGKDY128F4272553', 'TRBOGCW128E07920E3', 'TRXDVIJ128E0791E06', 'TRJEWIK128F92E4749', 'TRKRZLR128F427255A', 'TRWBPLY12903CE52B8', 'TROZTPS128F92E4737', 'TRKSXNO128E07937C2']","['TRZCSSL128F426F89C', 'TRYALRP128F92F521E']"
20,"['TRQGTEB12903CCE732', 'TRXCSMP128F428A359', 'TRLQULO128F42BBAEC', 'TRCRWHC128F92C260B', 'TRGRDUH128F42AE383', 'TRQIZVH128F428075C', 'TRGFRSZ128F42824C7', 'TRFAWKX12903CE30F4', 'TRLXWJY12903CCE727', 'TRPAAWS128F92F4130']","['TRPPJVB128F42AD576', 'TRUPWZY12903CA5297', 'TRPWESA12903CA5298']"
21,"['TRUJFZQ128F9346510', 'TRGAOLV128E0789D40', 'TRMHVGV12903CC68D2', 'TRJHSKL128F92E4EC7', 'TRNEKDM128E0780C91', 'TRNGAAK128F147DF92', 'TRUYDCT128F92FD33A', 'TRZLJUW128E0780DAB', 'TRKHYKB128E0789D42', 'TRTHGPK128F147DF90']","['TRMMZHD128F427FE98', 'TRINTFS12903CF7876', 'TRJHSKL128F92E4EC7']"
22,"['TRSJKLY128E079849E', 'TRAGACS128E078E74D', 'TRTXVRJ128F9301F60', 'TRZUWSX128F92F491A', 'TRDWSIX128F148B222', 'TRXAMGY128F92FDBA8', 'TRTZORX128E07813AF', 'TRPBUVE128F9301FEC', 'TRXCYUG128E0782282', 'TRNZIOV128F42ACE89']","['TRAGACS128E078E74D', 'TRPYROS128F427F1A9', 'TRSCMBY128F9311188', 'TRLGQPZ12903C9F46B']"
23,"['TREFVVJ128F146E4D1', 'TRTQHDD128F42886D1', 'TRGJXTC128F4278ECC', 'TRDKDMV128F93433E1', 'TRXSQQO12903CA924B', 'TRBDMFL128F145F691', 'TRTUROF12903CB6009', 'TRTTFWU128F14662EC', 'TRDGUNO128F92E588C', 'TRRZLGJ128F93225D7']","['TRFANLP128F930317F', 'TREKNVP128F92CDE50', 'TRFANLP128F930317F']"
24,"['TRKBWUX128F92D54F3', 'TRYPSFO12903CA84F0', 'TRJZGXV128F92D4C0D', 'TRBQSQG12903CBD7D3', 'TRTGFQN128E0788BF8', 'TRGDVRO128F92F5994', 'TRSIYFY128F932FE88', 'TRETMNQ128F9323A27', 'TRWDJRQ128F4295E13', 'TRJBSYG128F4291E11']","['TRQAEVC128F1483289', 'TRNLFPD128F428CAE9']"
25,"['TREFVVJ128F146E4D1', 'TRXSQQO12903CA924B', 'TRVDHUD128F92E9C1C', 'TRLTYEH128F423BB66', 'TRTQHDD128F42886D1', 'TRLCIDO128F4277E00', 'TRETRUQ128F9347FC1', 'TRPGYJS128F934A90C', 'TRAHPXR128F92F021D', 'TRNLTBQ128F428B8EE']",['TRAFZKY128F424C628']
26,"['TRVOWOG128E0783E33', 'TRBYZSV128F42B023B', 'TRUAOKG128F9313D46', 'TRMHRDA128F92E3541', 'TRYILNL128F429926A', 'TRVRQUD128F426442A', 'TRYRZFF128F933BBBB', 'TRKROJB128F42725F8', 'TRATKVY128EF35F97A', 'TRCKXDA128F422B936']","['TRDWSIX128F148B222', 'TRRUVLO128F92DE6F7', 'TRVFIFJ128F429846C', 'TRZUWSX128F92F491A', 'TRJFBHM128F426712A', 'TRMFOLO128F424A0FC', 'TRKPVFQ128F933A61F', 'TRRLCEQ12903CEA634', 'TRVOWOG128E0783E33', 'TRUTFIW128F42520FA']"
27,"['TRJYPJY12903D12569', 'TRNPXII128F1488557', 'TRTZPKI128F92FDBB7', 'TRUXIRP128F932E1D0', 'TROXHEA128F146EC58', 'TREEILH128F932621C', 'TRNGAAK128F147DF92', 'TRFWGOJ128E0780C8B', 'TRKHYKB128E0789D42', 'TRIOTLQ128E0789D3B']","['TROZTPS128F92E4737', 'TRYRSQZ128F9307EB4', 'TRZJYXG128E078E9C4', 'TRIFTVH128F92D306F']"
28,"['TRUJFZQ128F9346510', 'TRKHYKB128E0789D42', 'TRFWGOJ128E0780C8B', 'TRJHSKL128F92E4EC7', 'TRTZPKI128F92FDBB7', 'TRGAOLV128E0789D40', 'TRPRQXU128E0789D38', 'TRNGAAK128F147DF92', 'TRCIVWB128F92FDBB3', 'TRTHGPK128F147DF90']",['TRENKFJ12903CB5C2B']
29,"['TRSYFWL128F42AC944', 'TRKGOUE12903CF4702', 'TREDMTU128F9305DF1', 'TRFVVHK128F42AB1D1', 'TRKHARN128F146DA7A', 'TRCHNDS12903CBAE93', 'TRTLNUT12903CF4704', 'TRHWZCN128F9335D2B', 'TRQHKGZ128F92F03A2', 'TRXAKTX128F9332BDA']","['TRBLANS128F92FD3FF', 'TRIFUUN128F14ADDE1', 'TRAFKRE128F932002B', 'TRAEFXT128F42AEAD8', 'TRUFDRV128F4262352', 'TRSLJJR128F9303138']"
30,"['TRTPPUN128F42AE37D', 'TRQQOJF128F42BC5A3', 'TROQJNR12903CE3073', 'TRDGPQO12903CFDBEC', 'TROMDMC12903CE3041', 'TRLSCIQ12903CFDBEE', 'TRUWTAW128F429FEF1', 'TRLCIGR128F92F5E9D', 'TRKCQHG128F92E0C1C', 'TRKIZPI128F428D380']","['TRCJGNA128E078F797', 'TRPEAAD128F427952A']"
31,"['TRVRQUD128F426442A', 'TRFEIQJ128F92D528C', 'TRECEXC128F93379E4', 'TRGYZZH128F42660B6', 'TRXXROF128F92F4B6E', 'TRYILNL128F429926A', 'TRVFXKJ128F145F84C', 'TREEILH128F932621C', 'TRYJAPJ128F427AAEB', 'TREHBJW128F4288748']",['TRIACGQ128F93234B6']
32,"['TRPIZBJ12903D08278', 'TRIYKXW128F92FDF08', 'TRVGSYU128F933D936', 'TRTNQWI12903CB6370', 'TRRUQAX128F92FDEF0', 'TRKKRNJ12903D08282', 'TRAEGXU128F9304D31', 'TRFMNKN12903CB636C', 'TRECPSY12903CB637F', 'TRTPXAP12903CA1A14']","['TRWGMNU128F4285330', 'TRNERTQ128F146EC6E']"
33,"['TRKPZQB128F145E0C3', 'TRICFLJ128F9305F3F', 'TRTJQTZ128F92F4A64', 'TRUPQPE128C7196472', 'TRDMRHR128F148EB9F', 'TRKCYMI12903CE96EC', 'TRLIZQF128F934EEF8', 'TRVJSER128F92FFB5E', 'TRUZAOX128F9305498', 'TRLYHYF128F9301D44']",['TRLGQPZ12903C9F46B']
34,"['TRAKLTL128F428FD16', 'TRGUKSU128F9313D3E', 'TRUJMAW128F4261E2D', 'TRFRBRB128F9313D13', 'TROIEYM128F426DE1F', 'TRYVMZW12903CA94F1', 'TRZVUOQ128F14ADCC6', 'TRDPABL128F9305F20', 'TRZNZXZ12903CA82DD', 'TRDAAAI128F14ADCCB']","['TRLICVA128F4261E26', 'TRFMIWL128F4261E28', 'TRPJPBJ128F4261E2C', 'TRUJMAW128F4261E2D', 'TRNQVJP128F422C601', 'TRWRQPB128F930DBD7', 'TRKHNWQ128F931850A', 'TRUNNYZ128F427C399']"
35,"['TRACBYL12903CFDBC6', 'TRRPHRU128EF3570D0', 'TRPAAWS128F92F4130', 'TRKOZVY12903CFDBD0', 'TRFAWKX12903CE30F4', 'TRKCQHG128F92E0C1C', 'TRAJMZL12903CA4807', 'TROUGBV128F92C2176', 'TRZDTUC12903CE30DD', 'TRXCSMP128F428A359']","['TRGRDUH128F42AE383', 'TRMGTWK128F4271E2C']"
36,"['TRSSPPR128F92C3A4E', 'TRDLKVL128F1483283', 'TRMHXBU128F932A16D', 'TRONBHE128F92D6309', 'TRBAUVN128F932FEF8', 'TRKBWUX128F92D54F3', 'TRETMNQ128F9323A27', 'TRJBSYG128F4291E11', 'TRSIYFY128F932FE88', 'TRMCGJQ128F14A242B']",['TRMHXBU128F932A16D']
37,"['TRRMKPQ128F42B2E1F', 'TRCTLQK128F9355F31', 'TRGXCOB128F42B2E3C', 'TRRPNVT128F4214A89', 'TRHKOJY128F9324A14', 'TRQTMSE128E0793CD0', 'TRQIQHE128F1468C70', 'TRTPSCV128F42642DB', 'TRNFUMV128F42AF47A', 'TRMYGVM128F93048F7']","['TRSIGSA128F92D41FC', 'TRBZFCH128F428871D']"
38,"['TRTXAUS12903CA41BE', 'TRYRHFC128F9305CFE', 'TRCZBWE128F1486A10', 'TRNMGWH128F4250694', 'TRYJZDG128F145FB01', 'TRJEROO128F4284A64', 'TRPEOUU12903CD0B4E', 'TRDJJBQ12903C9FFB1', 'TRESABD128F92D0277', 'TRFNMGG12903CDA55E']",['TRKBIAR128F428B76C']
39,"['TRTLNUT12903CF4704', 'TRFVVHK128F42AB1D1', 'TRQHKGZ128F92F03A2', 'TRSYFWL128F42AC944', 'TRBYZSV128F42B023B', 'TROEYUS128F92F2778', 'TRCHNDS12903CBAE93', 'TRKROJB128F42725F8', 'TRHRESZ128F92FDB41', 'TRATKVY128EF35F97A']","['TRFSCIN128F92F4AD4', 'TROXFZG128EF3434AE', 'TRUHLIZ128F92EF08B', 'TRSJKLY128E079849E', 'TRYJAPJ128F427AAEB', 'TRZDPAF128F92F7C1F', 'TRTLNUT12903CF4704', 'TRNHCPK128F933BAAB', 'TRQHKGZ128F92F03A2', 'TRJZGXV128F92D4C0D']"
40,"['TRTOPRB128F145E751', 'TRSLDNU128C7196379', 'TRIFUUN128F14ADDE1', 'TRTYWYU128F14794E4', 'TRQWGFY128F428B9AD', 'TRLIGLF128F9301779', 'TRQAYSH128F42591AB', 'TRNZFNP12903CF829C', 'TRITVOV128F1462B7A', 'TRGQVUG128F92D2B08']","['TRKZCMQ128F145B792', 'TRZHDCH128F148D1BD', 'TRFTBAK128F422BDA2', 'TRALROP128F92CA9CC']"
41,"['TRKSXNO128E07937C2', 'TRKRZLR128F427255A', 'TRIFVDW128F4279DE0', 'TRNRIOU128F1451EE8', 'TRVGKDY128F4272553', 'TRJEWIK128F92E4749', 'TRFXKPH128E0793B8E', 'TRCOXGB128F42640E9', 'TRVLHTC128F42669C1', 'TRYFJYZ128F426A6CD']","['TRGYLXD128F427255F', 'TRVLHTC128F42669C1', 'TRVJFGM128F42B86C6', 'TRYRHFC128F9305CFE', 'TRQVNXG128F92E8AB6', 'TRMKSEG128F92D3C5C', 'TRAZDPO128E078ECE6', 'TRYJZDG128F145FB01']"
42,"['TRUWQDN128F425D7C0', 'TREYRWT128F92F8FDB', 'TRZFICU128F92CD390', 'TRWCEKE128F93191BE', 'TRRYGPJ12903CCDEA1', 'TRBQGOU128E07815E9', 'TRYVQUO128F145A173', 'TRXWFNS128F9336C8B', 'TREUBAC128F92DE2DD', 'TRZPUQZ128F92F8FBE']","['TRQJBNU128F425B057', 'TRYIQDN128F42724B6', 'TRUJFZQ128F9346510']"
43,"['TRSJKLY128E079849E', 'TRZUWSX128F92F491A', 'TRTXVRJ128F9301F60', 'TRUZTWC128F9303C5E', 'TRRLCEQ12903CEA634', 'TRXITNR128F4255DF1', 'TRFYOIE128F93207CB', 'TRTZORX128E07813AF', 'TRAGACS128E078E74D', 'TRXCYUG128E0782282']","['TRDTGYF128F4214DAA', 'TRAGACS128E078E74D']"
44,"['TRPWYWW128F422E08E', 'TRMUHKE128F4272ED9', 'TRACFYQ128E0784150', 'TRPLEBC128F147717D', 'TRFXXOG128E07928CD', 'TRLGLMA128F1470959', 'TRNURZT128F429C69B', 'TRRHCHT128F4214DB9', 'TRCRHHN128F4214DB1', 'TRVEOLM128F42A3A31']","['TRCRHHN128F4214DB1', 'TRZKFEJ128F4214DB4', 'TRRHCHT128F4214DB9']"
45,"['TRFYOIE128F93207CB', 'TRPBUVE128F9301FEC', 'TRTZORX128E07813AF', 'TRNWJFS128F93377B9', 'TRAZASM128F932FBEE', 'TRZUJIS128F9340447', 'TRVNFJO128F42BC5A0', 'TRARRTI128F93112F1', 'TRKSTEJ128F4281CC9', 'TRTUHTN128E0781807']","['TRZUJIS128F9340447', 'TRDXUYI128F92F6947', 'TRUYHHZ128EF341D29', 'TRAEFXT128F42AEAD8', 'TRPNWBL128F92CB6E9', 'TRFXKPH128E0793B8E', 'TRIFVDW128F4279DE0', 'TRKRZLR128F427255A', 'TRTZORX128E07813AF']"
46,"['TROUGBV128F92C2176', 'TRKIZPI128F428D380', 'TRZDTUC12903CE30DD', 'TROXWBT128F9305E67', 'TRKOZVY12903CFDBD0', 'TRLCIGR128F92F5E9D', 'TROMDMC12903CE3041', 'TRFTYOQ12903CA4808', 'TRQQOJF128F42BC5A3', 'TRDGPQO12903CFDBEC']","['TRKOZVY12903CFDBD0', 'TRYEIDS12903CA2821', 'TRPAAWS128F92F4130']"
47,"['TRPRYRR128F42963B3', 'TRIXVFP128F42963B8', 'TRMYWYT128F42963CB', 'TRBEOLH128F42963CD', 'TRKDABC128F42963C6', 'TRPQYKJ128F42963A3', 'TRSZGCO128F42963CE', 'TRQMGKF128F42B8200', 'TRVBCNA128F42B8206', 'TRFILAJ128F92F62AB']","['TRMHGPF128F426BE7F', 'TRMHXBU128F932A16D', 'TRNLNUD128F42607D0']"
48,"['TRASRXK128F9311176', 'TRZEJSA128F92DE1B3', 'TRSCMBY128F9311188', 'TRVMXAU128F422996E', 'TRYGQTC128F92CFC0F', 'TRALEPN128F9311179', 'TRBLCRT128F92ECF32', 'TROBYTB128F422975C', 'TRNRZWJ128F148B227', 'TRXFDOK128F92DE1B1']","['TRRQHIX128F92E17B1', 'TRGVFTB128F427A5EB', 'TRPYJVG128F4255504', 'TRKROJB128F42725F8']"
49,"['TRMTATV12903CA4A32', 'TRPNPTL128EF35F8B6', 'TRXPADO128F42A964A', 'TRUZAOX128F9305498', 'TRUELCH128F92C4797', 'TRDLWAP128F428F6B9', 'TRPYYYU128F92C7CCC', 'TRCHNDS12903CBAE93', 'TRMFOLO128F424A0FC', 'TRMEBYQ128F932FEFF']","['TRMEBYQ128F932FEFF', 'TRPYYYU128F92C7CCC', 'TRMHIQB128F42574AA']"
50,"['TRFCTHV12903CA44CB', 'TRRHZHZ12903CE6A70', 'TRZJGDR128F93234AF', 'TRFMSIB128F429638D', 'TRAFZKY128F424C628', 'TRBXVEA12903CD2DCA', 'TRITVUB128F42B81FF', 'TROGBBW128F42B820B', 'TRSHGPK128F9365490', 'TRHJDLW12903CA4487']","['TRVUFYR128F9335289', 'TRRHZHZ12903CE6A70', 'TRNLNUD128F42607D0', 'TRBXVEA12903CD2DCA', 'TRLNQGI128F92D5D37', 'TRFNGJS128F92F9EEE', 'TRXPADO128F42A964A', 'TRQMELD128F930BE43', 'TRKHARN128F146DA7A', 'TRTLNUT12903CF4704', 'TRAFZKY128F424C628', 'TRMCGJQ128F14A242B', 'TRPYYYU128F92C7CCC', 'TRXPADO128F42A964A']"
51,"['TRKGOUE12903CF4702', 'TREDMTU128F9305DF1', 'TRFDXCC12903CF4703', 'TRXAKTX128F9332BDA', 'TRSTWLG128F92D5C14', 'TRFVVHK128F42AB1D1', 'TRYFLGR128E078A71F', 'TRQZJPG128F149BA70', 'TRSYFWL128F42AC944', 'TRHQXYW128F14628C6']","['TRZCFFS128F4295BD7', 'TRYRNPH128F4295BDC', 'TRYIAKI128F147A5DC', 'TRIREMN128F4295BE4', 'TRDRBHT128F4295BE6', 'TRPCFHJ128F42A8849', 'TRMNQZI128F42B58E8', 'TRFWIRB128F42B6554', 'TRSFZGX128F932B6F0']"
52,"['TRIWQAQ128F92D261D', 'TRNELRC128F147DF6A', 'TRTQDER128F92DE72A', 'TRUSCOI128F147DF6C', 'TRLSTBO128F92DD989', 'TRTFDHF128F147DF6E', 'TRWBBLM128F930F4AE', 'TRXMILX128F147DF70', 'TRDNCZR128F147DF6F', 'TRTXELN128F934259E']","['TRTXELN128F934259E', 'TRVHTNR128F42411F1', 'TRWCEKE128F93191BE', 'TROMQBP128F4279306', 'TRUYOMJ128F93191BB', 'TRJAIIM128F42BC5BA', 'TRNPKRK128F429831C']"
53,"['TRTHGPK128F147DF90', 'TRIOTLQ128E0789D3B', 'TRFWGOJ128E0780C8B', 'TRPRQXU128E0789D38', 'TRKHYKB128E0789D42', 'TRTQDGL128E0780C94', 'TRPYROS128F427F1A9', 'TRGAOLV128E0789D40', 'TRVBJYW128F92C9D17', 'TRIWIGI12903CEA787']","['TROBUUZ128F4263002', 'TRKTOPV128F92D9BAD', 'TRUHLIZ128F92EF08B']"
54,"['TRAZDPO128E078ECE6', 'TRDJJBQ12903C9FFB1', 'TRAQPKV128E078EE32', 'TRMQYNA128E0799A6A', 'TRIDZST128E079433E', 'TRTXAUS12903CA41BE', 'TRSJZTM128F92E26BE', 'TRRRMKC128E0792990', 'TRALXLY128F148B35B', 'TRHNVYP128F4262C22']","['TRQWKDK128F426A901', 'TRGKSGI128F146B1A8', 'TRDGYPA128F930ECBB', 'TRVELHF128F933C8B4']"
55,"['TRCLGPC128F146CC16', 'TRSQVIF128F42393A4', 'TRQHXVE12903CCDE9F', 'TRWCEKE128F93191BE', 'TRKAZLD12903CCFA9C', 'TRDKUSZ12903CF188B', 'TRTPXAP12903CA1A14', 'TRLTROG128F93191C7', 'TRMUMDE128F92E4960', 'TRSZDBN12903CCDEA7']",['TRNPXII128F1488557']
56,"['TRWIELB128E079435D', 'TRVVTWQ128E078F1B7', 'TRFNMGG12903CDA55E', 'TRSJZTM128F92E26BE', 'TRIEBMD128F932270A', 'TRAZDPO128E078ECE6', 'TRIDZST128E079433E', 'TRNIYPI128F426BD61', 'TRMQYNA128E0799A6A', 'TRHNVYP128F4262C22']","['TRXPADO128F42A964A', 'TRRNGZF128F428D11E', 'TRSZUXR128F92F5F44', 'TRHNVYP128F4262C22', 'TRPKEWQ128F4249238']"
57,"['TRPFLKR128E078ED6C', 'TRJAJSR12903D07439', 'TROVBAL12903CC4F1B', 'TRKEJSX128F145481D', 'TRFYVIE128F148C86E', 'TRCMLNS12903CCAB1A', 'TRIBXXM128E078ED6D', 'TRUPQPE128C7196472', 'TRFGOBH128E078EC0C', 'TRNEVBF128F9314B07']","['TRPFLKR128E078ED6C', 'TRMEGZW128F149159D', 'TRYNJBB128F931A7EE', 'TRFUSOG128E078EC6F']"
58,"['TRMLREB128F4252E0C', 'TRNPNZD128E0784BA6', 'TRFGPLI128E078FC30', 'TRQLOHS128F42435AE', 'TRDYWLC128E0784B9A', 'TRPDRWH128F148DAC3', 'TRWIENJ128F4252E08', 'TRAUJKJ128E078FA48', 'TROGBYI128E078FC2D', 'TRQRLGR12903CB5C33']","['TRGOOOR128E078F970', 'TRFMNKN12903CB636C', 'TRHAOTJ128F92D7E39', 'TRECPSY12903CB637F']"
